"<Device>"
Model,PA5000H
Date,2024-12-10
Time,11:2:54

"<Settings>"
Update Rate,100ms
Crest Factor,3
Efficiency Compensation,OFF
Run Mode,Basic

User,Status,Name,Unit,Expression

Element,Element1,Element2,Element3,Element4,Element5,Element6
Wiring,3P4W,3P4W,3P4W,1P2W,1P2W,1P2W
Voltage Range,600.000000V,600.000000V,600.000000V,1000.000000V,1500.000000V,1.500000V
Voltage Scaling,OFF,OFF,OFF,OFF,OFF,OFF
Voltage Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Current Range,0.050000A,0.050000A,0.050000A,50.000000A,10.000000A,1.000000A
Current Scaling,ON,ON,ON,OFF,OFF,OFF
Current Auto Range,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor,OFF,OFF,OFF,OFF,OFF,OFF
Ext Sensor Range,10.000000V,10.000000V,10.000000V,0.050000V,0.050000V,0.050000V
Ext Sensor Ratio,10.000000mV/A,100.000000mV/A,1.000000mV/A,10.000000mV/A,1.000000mV/A,1.000000mV/A
U Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
I Liner Filter,OFF,OFF,OFF,OFF,OFF,OFF
U Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
I Frequency Filter,500Hz,500Hz,500Hz,OFF,OFF,OFF
PT Ratio,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
CT Ratio,1000.000000,1000.000000,1000.000000,1.000000,1.000000,1.000000
Sync source,U1,U2,U3,U4,U1,U1
Wiring Compensation,OFF,OFF,OFF,OFF,OFF,OFF

Store No.,Date,Time,MilliSecond,Urms1,Irms1,P1,fU1,S1,Q1,λ1,Urms2,Irms2,P2,fU2,S2,Q2,λ2,Urms3,Irms3,P3,fU3,S3,Q3,λ3,UrmsΣA,IrmsΣA,PΣA,SΣA,QΣA,λΣA
20,2024-12-10,11:2:56,18ms,2.30170e+002,8.60935e+000,1.96813e+003,4.99991e+001,1.98161e+003,2.30782e+002,9.93195e-001,2.30121e+002,8.60367e+000,1.96625e+003,4.99992e+001,1.97988e+003,2.31964e+002,9.93113e-001,2.30139e+002,8.54667e+000,1.96087e+003,4.99987e+001,1.96692e+003,1.54231e+002,9.96921e-001,2.30143e+002,8.58656e+000,5.89524e+003,5.92842e+003,6.16977e+002,9.94404e-001
21,2024-12-10,11:2:56,118ms,2.30170e+002,8.61402e+000,1.96958e+003,5.00007e+001,1.98269e+003,2.27645e+002,9.93387e-001,2.30131e+002,8.60145e+000,1.96580e+003,5.00008e+001,1.97946e+003,2.32113e+002,9.93101e-001,2.30131e+002,8.54749e+000,1.96101e+003,4.99990e+001,1.96704e+003,1.53913e+002,9.96934e-001,2.30144e+002,8.58765e+000,5.89639e+003,5.92919e+003,6.13671e+002,9.94468e-001
22,2024-12-10,11:2:56,218ms,2.30163e+002,8.60572e+000,1.96742e+003,4.99992e+001,1.98072e+003,2.29149e+002,9.93285e-001,2.30132e+002,8.60420e+000,1.96652e+003,4.99998e+001,1.98010e+003,2.31521e+002,9.93141e-001,2.30142e+002,8.55158e+000,1.96206e+003,4.99996e+001,1.96808e+003,1.53770e+002,9.96943e-001,2.30145e+002,8.58717e+000,5.89599e+003,5.92889e+003,6.14440e+002,9.94451e-001
23,2024-12-10,11:2:56,318ms,2.30164e+002,8.60447e+000,1.96720e+003,4.99987e+001,1.98044e+003,2.28600e+002,9.93316e-001,2.30136e+002,8.60108e+000,1.96591e+003,4.99979e+001,1.97942e+003,2.30868e+002,9.93175e-001,2.30129e+002,8.55202e+000,1.96202e+003,4.99993e+001,1.96807e+003,1.54252e+002,9.96924e-001,2.30143e+002,8.58586e+000,5.89512e+003,5.92793e+003,6.13719e+002,9.94467e-001
24,2024-12-10,11:2:56,418ms,2.30159e+002,8.60863e+000,1.96830e+003,5.00010e+001,1.98136e+003,2.27132e+002,9.93408e-001,2.30126e+002,8.60392e+000,1.96635e+003,4.99985e+001,1.97999e+003,2.31975e+002,9.93113e-001,2.30137e+002,8.55119e+000,1.96192e+003,4.99994e+001,1.96795e+003,1.53891e+002,9.96938e-001,2.30141e+002,8.58791e+000,5.89657e+003,5.92929e+003,6.12997e+002,9.94481e-001
25,2024-12-10,11:2:56,518ms,2.30170e+002,8.60687e+000,1.96779e+003,4.99995e+001,1.98104e+003,2.28769e+002,9.93310e-001,2.30129e+002,8.60461e+000,1.96650e+003,5.00012e+001,1.98017e+003,2.32318e+002,9.93094e-001,2.30131e+002,8.55184e+000,1.96205e+003,4.99991e+001,1.96804e+003,1.53403e+002,9.96957e-001,2.30143e+002,8.58777e+000,5.89634e+003,5.92925e+003,6.14491e+002,9.94448e-001
26,2024-12-10,11:2:56,618ms,2.30167e+002,8.60708e+000,1.96773e+003,5.00002e+001,1.98106e+003,2.29455e+002,9.93270e-001,2.30118e+002,8.60059e+000,1.96562e+003,5.00002e+001,1.97915e+003,2.31029e+002,9.93164e-001,2.30136e+002,8.54765e+000,1.96119e+003,4.99989e+001,1.96712e+003,1.52723e+002,9.96982e-001,2.30140e+002,8.58510e+000,5.89454e+003,5.92734e+003,6.13207e+002,9.94466e-001
27,2024-12-10,11:2:56,718ms,2.30167e+002,8.60500e+000,1.96725e+003,4.99993e+001,1.98059e+003,2.29430e+002,9.93268e-001,2.30132e+002,8.60195e+000,1.96594e+003,4.99977e+001,1.97958e+003,2.32041e+002,9.93106e-001,2.30128e+002,8.55751e+000,1.96337e+003,5.00003e+001,1.96933e+003,1.53053e+002,9.96975e-001,2.30142e+002,8.58815e+000,5.89656e+003,5.92950e+003,6.14524e+002,9.94445e-001
28,2024-12-10,11:2:56,818ms,2.30163e+002,8.60758e+000,1.96800e+003,5.00010e+001,1.98114e+003,2.27797e+002,9.93367e-001,2.30126e+002,8.61438e+000,1.96876e+003,5.00010e+001,1.98239e+003,2.32110e+002,9.93122e-001,2.30142e+002,8.56647e+000,1.96555e+003,4.99987e+001,1.97150e+003,1.53100e+002,9.96980e-001,2.30144e+002,8.59614e+000,5.90231e+003,5.93504e+003,6.13007e+002,9.94486e-001
29,2024-12-10,11:2:56,918ms,2.30162e+002,8.72666e+000,1.99540e+003,4.99977e+001,2.00854e+003,2.29410e+002,9.93456e-001,2.30133e+002,8.73278e+000,1.99599e+003,4.99984e+001,2.00970e+003,2.34376e+002,9.93176e-001,2.30140e+002,8.67885e+000,1.99141e+003,4.99987e+001,1.99735e+003,1.53967e+002,9.97024e-001,2.30145e+002,8.71276e+000,5.98280e+003,6.01560e+003,6.17753e+002,9.94547e-001
