"Model","WT1800"
"Comment",""
"Version","1.01"
"Date","2024/12/05"
"Time","14:33:22"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA"
"Sigma Wiring","3P4W"
"Delta Measure Type","Star->Delta"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A","1kV5A"
"Wiring","1P2W","SigmaA(3P4W)","SigmaA(3P4W)","SigmaA(3P4W)","1P2W","1P2W"
"Voltage Range","1.5V","600V","600V","600V","1.5V","1.5V"
"Terminal","Direct","Direct","Direct","Direct","Sensor","Direct"
"Current Range","    10mA","Auto","Auto","Auto","100mV","    10mA"
"Sensor Ratio","100.0000","10.0000","100.0000","10.0000","100.0000","10.0000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","Off","Off","Off","Off","Off","Off"
"Scaling","On"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","2000.0001","1000.0000","1000.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","I1","I2","I3","I4","I5","I6"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","On"
"Average","Off"
"F1(EFF)","P(E3)/P(E4)*100","Unit","%"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","100ms"
"Crest Factor","3"
"eta1 Formula","P3/P4*100"
"eta2 Formula","P4/P3*100"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","U4","U4","U4","U4","U4","U4"
"Order","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40","0 To 40"
"THD Formula","Total","Total","Total","Total","Total","Total"

"Store No.","Date","Time","Urms-E2[V]","Irms-E2[A]","P-E2[W]","S-E2[VA]","Q-E2[var]","PF-E2","Urms-E3[V]","Irms-E3[A]","P-E3[W]","S-E3[VA]","Q-E3[var]","PF-E3","Urms-E4[V]","Irms-E4[A]","P-E4[W]","S-E4[VA]","Q-E4[var]","PF-E4","Urms-SigA[V]","Irms-SigA[A]","P-SigA[W]","S-SigA[VA]","Q-SigA[var]","PF-SigA"
   21,2024/12/05,14:31:22,206.92E+00,10.647E+00,2.0808E+03,2.2030E+03,723.32E+00,0.9446E+00,206.63E+00,9.4735E+00,1.8910E+03,1.9575E+03,505.89E+00,0.9660E+00,206.73E+00,10.233E+00,2.0292E+03,2.1154E+03,597.70E+00,0.9593E+00,206.76E+00,10.118E+00,6.0011E+03,6.2759E+03,1.8269E+03,0.9562E+00
   22,2024/12/05,14:31:22,206.97E+00,10.646E+00,2.0813E+03,2.2034E+03,723.23E+00,0.9446E+00,206.67E+00,9.4809E+00,1.8928E+03,1.9594E+03,506.50E+00,0.9660E+00,206.67E+00,10.235E+00,2.0295E+03,2.1153E+03,596.40E+00,0.9594E+00,206.77E+00,10.121E+00,6.0036E+03,6.2781E+03,1.8261E+03,0.9563E+00
   23,2024/12/05,14:31:22,206.92E+00,10.651E+00,2.0820E+03,2.2039E+03,722.60E+00,0.9447E+00,206.61E+00,9.4753E+00,1.8909E+03,1.9577E+03,506.89E+00,0.9659E+00,206.78E+00,10.240E+00,2.0313E+03,2.1173E+03,597.56E+00,0.9594E+00,206.77E+00,10.122E+00,6.0042E+03,6.2789E+03,1.8270E+03,0.9563E+00
   24,2024/12/05,14:31:22,206.94E+00,10.637E+00,2.0795E+03,2.2011E+03,721.48E+00,0.9448E+00,206.66E+00,9.4791E+00,1.8920E+03,1.9590E+03,508.02E+00,0.9658E+00,206.66E+00,10.235E+00,2.0291E+03,2.1152E+03,597.45E+00,0.9593E+00,206.76E+00,10.117E+00,6.0005E+03,6.2753E+03,1.8269E+03,0.9562E+00
   25,2024/12/05,14:31:22,206.92E+00,10.628E+00,2.0780E+03,2.1991E+03,719.76E+00,0.9449E+00,206.67E+00,9.4856E+00,1.8936E+03,1.9604E+03,507.29E+00,0.9659E+00,206.72E+00,10.241E+00,2.0312E+03,2.1171E+03,596.94E+00,0.9594E+00,206.77E+00,10.118E+00,6.0028E+03,6.2766E+03,1.8240E+03,0.9564E+00
   26,2024/12/05,14:31:22,206.97E+00,10.644E+00,2.0817E+03,2.2030E+03,720.83E+00,0.9450E+00,206.67E+00,9.4849E+00,1.8933E+03,1.9602E+03,507.83E+00,0.9659E+00,206.73E+00,10.237E+00,2.0302E+03,2.1163E+03,597.42E+00,0.9593E+00,206.79E+00,10.122E+00,6.0052E+03,6.2795E+03,1.8261E+03,0.9563E+00
   27,2024/12/05,14:31:22,207.06E+00,10.648E+00,2.0833E+03,2.2047E+03,721.47E+00,0.9449E+00,206.61E+00,9.4729E+00,1.8908E+03,1.9572E+03,505.37E+00,0.9661E+00,206.75E+00,10.238E+00,2.0309E+03,2.1167E+03,596.58E+00,0.9595E+00,206.81E+00,10.120E+00,6.0050E+03,6.2786E+03,1.8234E+03,0.9564E+00
   28,2024/12/05,14:31:22,206.88E+00,10.651E+00,2.0817E+03,2.2034E+03,722.14E+00,0.9448E+00,206.62E+00,9.4761E+00,1.8914E+03,1.9580E+03,506.37E+00,0.9660E+00,206.73E+00,10.238E+00,2.0306E+03,2.1164E+03,596.50E+00,0.9595E+00,206.74E+00,10.121E+00,6.0037E+03,6.2778E+03,1.8250E+03,0.9563E+00
   29,2024/12/05,14:31:22,206.90E+00,10.626E+00,2.0773E+03,2.1984E+03,719.69E+00,0.9449E+00,206.68E+00,9.4707E+00,1.8909E+03,1.9574E+03,506.01E+00,0.9660E+00,206.78E+00,10.229E+00,2.0291E+03,2.1150E+03,596.90E+00,0.9594E+00,206.79E+00,10.108E+00,5.9972E+03,6.2709E+03,1.8226E+03,0.9564E+00
   30,2024/12/05,14:31:23,206.95E+00,10.604E+00,2.0742E+03,2.1946E+03,716.72E+00,0.9452E+00,206.68E+00,9.4610E+00,1.8887E+03,1.9554E+03,506.53E+00,0.9659E+00,206.72E+00,10.209E+00,2.0248E+03,2.1104E+03,594.84E+00,0.9595E+00,206.78E+00,10.091E+00,5.9877E+03,6.2603E+03,1.8181E+03,0.9564E+00
